"","month_year","fppi_crops","cpi_diff","st_days_mean_over_25","st_days_max_over_25","st_days_mean_over_30","st_days_max_over_30","monthly_mean_temp","monthly_precipitation_total","monthly_precipitation_average","diff_fppi","lag_st_days_max_30","lag_st_days_max_25","lag_monthly_mean_temp","diff_fppi_per"
"1","1991-01",64.4,2.6,0,0,0,0,-14.25266392,1254.8,18.72835821,0.3,NA,NA,NA,0.005
"2","1991-02",64.8,0,0,0,0,0,-5.054397593,1225.5,18.29104478,0.399999999999991,NA,NA,NA,0.006
"3","1991-03",65.1,0.4,0,0,0,0,-4.189389291,1866.8,27.86268657,0.299999999999997,NA,NA,NA,0.005
"4","1991-04",65.4,0,0,16,0,0,6.198414141,3552.9,53.02835821,0.300000000000011,0,0,-14.25266392,0.005
"5","1991-05",65.6,0.5,0,265,0,18,11.88368518,4401.9,65.7,0.199999999999989,0,0,-5.054397593,0.003
"6","1991-06",65.4,0.5,14,433,0,41,16.33929445,5920.9,88.37164179,-0.199999999999989,0,0,-4.189389291,-0.003
"7","1991-07",65.7,0.1,39,877,0,130,18.34887813,3585.4,53.51343284,0.299999999999997,0,16,6.198414141,0.005
"8","1991-08",65.9,0.1,81,1109,1,438,19.51622614,2901.2,43.30149254,0.200000000000003,18,265,11.88368518,0.003
"9","1991-09",64.4,-0.2,19,240,0,42,11.76715007,2282,34.05970149,-1.5,41,433,16.33929445,-0.023
"10","1991-10",63.8,-0.1,0,63,0,0,2.791064563,3256.7,48.60746269,-0.600000000000009,130,877,18.34887813,-0.009
"11","1991-11",64.1,0.4,0,0,0,0,-5.194517894,1148.6,17.14328358,0.299999999999997,438,1109,19.51622614,0.005
"12","1991-12",64.5,-0.5,0,0,0,0,-8.791142973,1668.7,24.90597015,0.400000000000006,42,240,11.76715007,0.006
"13","1992-01",65.1,0.5,0,0,0,0,-8.559835529,1505.1,22.4641791,0.599999999999994,0,63,2.791064563,0.009
"14","1992-02",65.7,0,0,0,0,0,-7.783675673,1366.2,20.39104478,0.600000000000009,0,0,-5.194517894,0.009
